name,state,acronym,short_name
University of Connecticut,CT,UC,UC
Goodwin University,CT,GU,GU
Lincoln Technical Institute-East Windsor,CT,LTIEW,LTIEW
Eastern Connecticut State University,CT,ECSU,ECSU
Fairfield University,CT,FU,FU
Paul Mitchell the School-North Haven,CT,PMSNH,PMSNH
Connecticut State Community College,CT,CSCC,CSCC
American Institute-West Hartford,CT,AIWH,AIWH
Hartford International University for Religion and Peace,CT,HIURP,HIURP
University of Hartford,CT,UH,UH
Holy Apostles College and Seminary,CT,HACS,HACS
Mitchell College,CT,MC,MC
Lincoln Technical Institute-New Britain,CT,LTINB,LTINB
New England Tractor Trailer Training School of Connecticut,CT,NETTTSC,NETTTSC
University of New Haven,CT,UNH,UNH
Porter & Chester Institute,CT,PCI,PCI
Post University,CT,PU,PU
Quinnipiac University,CT,QU,QU
Sacred Heart University,CT,SHU,SHU
University of Saint Joseph,CT,USJ,USJ
Southern Connecticut State University,CT,SCSU,SCSU
Trinity College,CT,TC,TC
United States Coast Guard Academy,CT,USCGA,USCGA
Wesleyan University,CT,WU,WU
Western Connecticut State University,CT,WCSU,WCSU
Yale University,CT,YU,YU
Margaret H Rollins School of Nursing at Beebe Medical Center,DE,MHRSNBMC,MHRSNBMC
Dawn Career Institute LLC,DE,DCIL,DCIL
Delaware Technical Community College-Terry,DE,DTCCT,DTCCT
Delaware State University,DE,DSU,DSU
University of Delaware,DE,UD,UD
Goldey-Beacom College,DE,GBC,GBC
Schilling-Douglas School of Hair Design,DE,SDSHD,SDSHD
Wilmington University,DE,WU,WU
American University,DC,AU,AU
The Catholic University of America,DC,CUA,CUA
University of the District of Columbia,DC,UDC,UDC
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC,PFICDHS,PFICDHS
Gallaudet University,DC,GU,GU
George Washington University,DC,GWU,GWU
Georgetown University,DC,GU,GU
Howard University,DC,HU,HU
Strayer University-District of Columbia,DC,SUDC,SUDC
National Conservatory of Dramatic Arts,DC,NCDA,NCDA
Trinity Washington University,DC,TWU,TWU
Wesley Theological Seminary,DC,WTS,WTS
Atlantic Technical College,FL,ATC,ATC
Baptist University of Florida,FL,BUF,BUF
Barry University,FL,BU,BU
Bethune-Cookman University,FL,BCU,BCU
Lynn University,FL,LU,LU
North Florida Technical College,FL,NFTC,NFTC
Eastern Florida State College,FL,EFSC,EFSC
Broward College,FL,BC,BC
Albizu University-Miami,FL,AUM,AUM
College of Central Florida,FL,CCF,CCF
University of Central Florida,FL,UCF,UCF
Charlotte Technical College,FL,CTC,CTC
Chipola College,FL,CC,CC
Lorenzo Walker Technical College,FL,LWTC,LWTC
Daytona State College,FL,DSC,DSC
South University-West Palm Beach,FL,SUWPB,SUWPB
Eckerd College,FL,EC,EC
Florida SouthWestern State College,FL,FSSC,FSSC
Edward Waters University,FL,EWU,EWU
Embry-Riddle Aeronautical University-Daytona Beach,FL,ERAUDB,ERAUDB
Florida Agricultural and Mechanical University,FL,FAMU,FAMU
Florida Atlantic University,FL,FAU,FAU
Florida State College at Jacksonville,FL,FSCJ,FSCJ
Flagler College,FL,FC,FC
Florida College,FL,FC,FC
Concorde Career Institute-Jacksonville,FL,CCIJ,CCIJ
Concorde Career Institute-Miramar,FL,CCIM,CCIM
Concorde Career Institute-Tampa,FL,CCIT,CCIT
AdventHealth University,FL,AU,AU
Florida Institute of Technology,FL,FIT,FIT
Florida International University,FL,FIU,FIU
The College of the Florida Keys,FL,CFK,CFK
Florida Memorial University,FL,FMU,FMU
Florida School of Massage,FL,FSM,FSM
Florida Southern College,FL,FSC,FSC
Florida State University,FL,FSU,FSU
University of Florida,FL,UF,UF
Fort Pierce Beauty Academy,FL,FPBA,FPBA
Full Sail University,FL,FSU,FSU
George Stone Technical College,FL,GSTC,GSTC
George T Baker Aviation Technical College,FL,GTBATC,GTBATC
Gulf Coast State College,FL,GCSC,GCSC
Hillsborough College,FL,HC,HC
Hobe Sound Bible College,FL,HSBC,HSBC
Hollywood Institute of Beauty Careers,FL,HIBC,HIBC
Indian River State College,FL,IRSC,IRSC
International Academy,FL,IA,IA
Jacksonville University,FL,JU,JU
Keiser University-Ft Lauderdale,FL,KUFL,KUFL
La Belle Beauty School,FL,LBBS,LBBS
Florida Gateway College,FL,FGC,FGC
Lake Technical College,FL,LTC,LTC
Lake-Sumter State College,FL,LSSC,LSSC
Fort Myers Technical College,FL,FMTC,FMTC
Lively Technical College,FL,LTC,LTC
Lindsey Hopkins Technical College,FL,LHTC,LHTC
